Phenotype Term Name	Phenotype Term ID	Disease Name	Disease ID	Chemical Inference Network	Gene Inference Network	References
ATP biosynthetic process	GO:0006754	COVID-19	MESH:D000086382	Melatonin|Zinc		6
cytokine production involved in inflammatory response	GO:0002534	COVID-19	MESH:D000086382	camostat|Zinc		7
positive regulation of protein targeting to vacuole involved in autophagy	GO:1904053	COVID-19	MESH:D000086382	Chloroquine|Sirolimus		7
amino acid transport	GO:0006865	COVID-19	MESH:D000086382	Choline|Dactinomycin		3
autophagic cell death	GO:0048102	COVID-19	MESH:D000086382	Chloroquine|Sirolimus		9
dendritic cell homeostasis	GO:0036145	COVID-19	MESH:D000086382	Active Hexose Correlated Compound|perfluorobutyric acid		4
cell-abiotic substrate adhesion	GO:0036164	COVID-19	MESH:D000086382	betulinic acid|Chloroquine		8
CD8-positive, alpha-beta T cell differentiation involved in immune response	GO:0002302	COVID-19	MESH:D000086382	2019-nCoV Vaccine mRNA-1273|BNT162 Vaccine		1
endosome organization	GO:0007032	COVID-19	MESH:D000086382	Chloroquine|Hydroxychloroquine		10
CD4-positive, alpha-beta T cell differentiation involved in immune response	GO:0002294	COVID-19	MESH:D000086382	2019-nCoV Vaccine mRNA-1273|BNT162 Vaccine		1
glycogen biosynthetic process	GO:0005978	COVID-19	MESH:D000086382	Choline|Sirolimus		4
negative regulation of oxidoreductase activity	GO:0051354	COVID-19	MESH:D000086382	Ribavirin|Tenofovir		8
stress-induced premature senescence	GO:0090400	COVID-19	MESH:D000086382	Hydroxychloroquine|Sirolimus		7
autophagosome	GO:0005776	COVID-19	MESH:D000086382	Chloroquine|Sirolimus		9
positive regulation of systemic arterial blood pressure	GO:0003084	COVID-19	MESH:D000086382	Losartan|Nifedipine		4
nitric oxide metabolic process	GO:0046209	COVID-19	MESH:D000086382	Losartan|Melatonin		5
sodium:potassium-exchanging ATPase activity	GO:0005391	COVID-19	MESH:D000086382	Zinc|Zinc Sulfate		5
positive regulation of inclusion body assembly	GO:0090261	COVID-19	MESH:D000086382	Chloroquine|Sirolimus		7
interleukin-6 secretion	GO:0072604	COVID-19	MESH:D000086382	Chloroquine|Hydroxychloroquine		10
DNA methylation on cytosine within a CG sequence	GO:0010424	COVID-19	MESH:D000086382	Choline|Zinc Sulfate		4
ubiquinol-cytochrome-c reductase activity	GO:0008121	COVID-19	MESH:D000086382	Chloroquine|Sirolimus		7
urate biosynthetic process	GO:0034418	COVID-19	MESH:D000086382	Melatonin|Tenofovir		5
eosinophil homeostasis	GO:1990959	COVID-19	MESH:D000086382	Lopinavir|perfluorobutyric acid		6
metabolic process	GO:0008152	COVID-19	MESH:D000086382	Choline|perfluorobutyric acid		4
positive regulation of protein ubiquitination	GO:0031398	COVID-19	MESH:D000086382	Chloroquine|Sirolimus		7
zinc ion import across plasma membrane	GO:0071578	COVID-19	MESH:D000086382	Zinc|Zinc Sulfate		4
chloride transmembrane transport	GO:1902476	COVID-19	MESH:D000086382	Ivermectin|selamectin		5
negative regulation of cardiac muscle contraction	GO:0055118	COVID-19	MESH:D000086382	Melatonin|Nifedipine		5
calcium ion homeostasis	GO:0055074	COVID-19	MESH:D000086382	Ivermectin|Nifedipine		6
iron ion homeostasis	GO:0055072	COVID-19	MESH:D000086382	Chloroquine|Zinc		9
negative regulation of viral translation	GO:1904972	COVID-19	MESH:D000086382	(2-(2',3'-dihydrobenzo(1,4)dioxin-6'-yl)-2-hydroxy-1-pyrrolidin-1-ylmethylethyl)nonanoic acid amide|Ivermectin		4
G0 to G1 transition	GO:0045023	COVID-19	MESH:D000086382	cepharanthine|Chloroquine		8
hexose metabolic process	GO:0019318	COVID-19	MESH:D000086382	Zinc|Zinc Sulfate		4
positive regulation of cell cycle arrest	GO:0071158	COVID-19	MESH:D000086382	Ivermectin|Lopinavir		8
positive regulation of catalase activity	GO:1902553	COVID-19	MESH:D000086382	Melatonin|Zinc Sulfate		5
negative regulation of neuronal action potential	GO:1904456	COVID-19	MESH:D000086382	Ivermectin|Mefloquine		6
glucose import across plasma membrane	GO:0098708	COVID-19	MESH:D000086382	Chloroquine|Sirolimus		8
acetylcholine metabolic process	GO:0008291	COVID-19	MESH:D000086382	Choline|Zinc		5
immune response	GO:0006955	COVID-19	MESH:D000086382	Zinc	CCL2|CCL3|CCR2|CSF3|CXCL10|IL10|IL10RB|IL1B|IL2|IL2RA|IL6|IL7|PLSCR1|TNF|TYK2	10
negative regulation of apoptotic process	GO:0043066	COVID-19	MESH:D000086382	Melatonin	ABO|HCK|IL10|IL2|IL6|IL7|TNF	10
positive regulation of inflammatory response	GO:0050729	COVID-19	MESH:D000086382	Sirolimus	AGT|CCL3|CCR2|IL1B|IL2|TNF	6
positive regulation of DNA-binding transcription factor activity	GO:0051091	COVID-19	MESH:D000086382	Melatonin	CSF3|IL10|IL1B|IL6|TNF	8
intracellular signal transduction	GO:0035556	COVID-19	MESH:D000086382	Zinc	BTK|CD209|CXCL8|TYK2	7
positive regulation of ERK1 and ERK2 cascade	GO:0070374	COVID-19	MESH:D000086382	Chloroquine	CCL3|IL1B|IL6|TNF	11
MAPK cascade	GO:0000165	COVID-19	MESH:D000086382	Sirolimus	CCL2|CCL3|IL1B|TNF	4
angiogenesis	GO:0001525	COVID-19	MESH:D000086382	Chloroquine	BSG|CCL2|CCR2|CXCL8	10
positive regulation of interleukin-6 production	GO:0032755	COVID-19	MESH:D000086382	Losartan	BSG|IL1B|IL6|TNF	8
response to heat	GO:0009408	COVID-19	MESH:D000086382	cannabidiolic acid	CCL2|IL1B|IL6	7
lysosome	GO:0005764	COVID-19	MESH:D000086382	Chloroquine	HCK|IL1B|TMEM106B	9
positive regulation of neuron apoptotic process	GO:0043525	COVID-19	MESH:D000086382	Zinc	CCL3|IL1B|TNF	5
adaptive immune response	GO:0002250	COVID-19	MESH:D000086382	Chloroquine	BTK|CD209|IL2	9
negative regulation of inflammatory response	GO:0050728	COVID-19	MESH:D000086382	Chloroquine	IL10|IL2|IL2RA	9
positive regulation of interleukin-1 beta production	GO:0032731	COVID-19	MESH:D000086382	Losartan	CCL3|IL6|TNF	7
response to radiation	GO:0009314	COVID-19	MESH:D000086382	betulinic acid	CRP|TNF	4
response to antibiotic	GO:0046677	COVID-19	MESH:D000086382	Chloroquine	CCL2|IL6	11
positive regulation of organ growth	GO:0046622	COVID-19	MESH:D000086382	Choline	AGT|IL7	4
lipid metabolic process	GO:0006629	COVID-19	MESH:D000086382	Choline	FUT2|UGCG	6
phagocytosis	GO:0006909	COVID-19	MESH:D000086382	Zinc Sulfate	HCK|ICAM5	4
positive regulation of neutrophil chemotaxis	GO:0090023	COVID-19	MESH:D000086382	Choline	CXCL8|IL1B	4
positive regulation of I-kappaB kinase/NF-kappaB signaling	GO:0043123	COVID-19	MESH:D000086382	Zinc	IL1B|TNF	5
positive regulation of phagocytosis	GO:0050766	COVID-19	MESH:D000086382	Active Hexose Correlated Compound	IL1B|TNF	4
negative regulation of mitotic cell cycle	GO:0045930	COVID-19	MESH:D000086382	Ivermectin	IL10|TNF	5
negative regulation of viral genome replication	GO:0045071	COVID-19	MESH:D000086382	Ivermectin	PLSCR1|TNF	5
cellular response to xenobiotic stimulus	GO:0071466	COVID-19	MESH:D000086382	Choline	CCL2|IL1B	4
positive regulation of JNK cascade	GO:0046330	COVID-19	MESH:D000086382	Zinc	IL1B|TNF	5
blood vessel remodeling	GO:0001974	COVID-19	MESH:D000086382	Zinc	AGT|CCR2	5
neutrophil activation	GO:0042119	COVID-19	MESH:D000086382	Teicoplanin	CXCL8|IL1B	4
negative regulation of systemic arterial blood pressure	GO:0003085	COVID-19	MESH:D000086382	Nifedipine	TNF	3
negative regulation of alkaline phosphatase activity	GO:0010693	COVID-19	MESH:D000086382	Tenofovir	TNF	3
maintenance of permeability of blood-brain barrier	GO:0035633	COVID-19	MESH:D000086382	Melatonin	IL6	7
cellular response to L-glutamate	GO:1905232	COVID-19	MESH:D000086382	Ivermectin	BCL11A	4
leukocyte degranulation	GO:0043299	COVID-19	MESH:D000086382	Nifedipine	HCK	3
positive regulation of humoral immune response mediated by circulating immunoglobulin	GO:0002925	COVID-19	MESH:D000086382	BNT162 Vaccine	TNF	3
learning or memory	GO:0007611	COVID-19	MESH:D000086382	Zinc	IL1B	4
positive regulation of innate immune response	GO:0045089	COVID-19	MESH:D000086382	Active Hexose Correlated Compound	PLSCR1	3
leukocyte migration involved in immune response	GO:0002522	COVID-19	MESH:D000086382	Melatonin	HCK	4
cognition	GO:0050890	COVID-19	MESH:D000086382	Sirolimus	TNF	3
nucleic acid phosphodiester bond hydrolysis	GO:0090305	COVID-19	MESH:D000086382	Dactinomycin	PLSCR1	5
lysosomal protein catabolic process	GO:1905146	COVID-19	MESH:D000086382	Chloroquine	TMEM106B	7
memory	GO:0007613	COVID-19	MESH:D000086382	Melatonin	IL1B	4
positive regulation of T-helper 17 type immune response	GO:2000318	COVID-19	MESH:D000086382	Active Hexose Correlated Compound	TYK2	3
positive regulation of nitric-oxide synthase activity	GO:0051000	COVID-19	MESH:D000086382	Choline	TNF	3
negative regulation of bone resorption	GO:0045779	COVID-19	MESH:D000086382	betulinic acid	IL6	6
osteoclast differentiation	GO:0030316	COVID-19	MESH:D000086382	Sirolimus	TNF	3
positive regulation of vascular associated smooth muscle cell migration	GO:1904754	COVID-19	MESH:D000086382	Losartan	AGT	3
positive regulation of calcium-mediated signaling	GO:0050850	COVID-19	MESH:D000086382	Ivermectin	CCL3	4
positive regulation of osteoblast differentiation	GO:0045669	COVID-19	MESH:D000086382	Sirolimus	IL6	6
positive regulation of wound healing	GO:0090303	COVID-19	MESH:D000086382	Zinc	CCL2	4
glycolipid metabolic process	GO:0006664	COVID-19	MESH:D000086382	Choline	FUT2	3
positive regulation of translation	GO:0045727	COVID-19	MESH:D000086382	Sirolimus	IL6	6
positive regulation of cellular respiration	GO:1901857	COVID-19	MESH:D000086382	Sirolimus	IL10RB	3
positive regulation of lipid catabolic process	GO:0050996	COVID-19	MESH:D000086382	Choline	IL1B	3
positive regulation of T-helper 1 type immune response	GO:0002827	COVID-19	MESH:D000086382	Active Hexose Correlated Compound	CCR2	3
positive regulation of multicellular organism growth	GO:0040018	COVID-19	MESH:D000086382	Choline	AGT	3
cellular response to hydrogen peroxide	GO:0070301	COVID-19	MESH:D000086382	Melatonin	IL6	7
T cell activation involved in immune response	GO:0002286	COVID-19	MESH:D000086382	Active Hexose Correlated Compound	CD209	3
I-kappaB kinase/NF-kappaB signaling	GO:0007249	COVID-19	MESH:D000086382	Zinc	BTK	4
monocyte homeostasis	GO:0035702	COVID-19	MESH:D000086382	Active Hexose Correlated Compound	CCL2	3
negative regulation of G1/S transition of mitotic cell cycle	GO:2000134	COVID-19	MESH:D000086382	Chloroquine	CCL2	7
T cell activation	GO:0042110	COVID-19	MESH:D000086382	Hydroxychloroquine	IL6	10
T cell homeostasis	GO:0043029	COVID-19	MESH:D000086382	perfluorobutyric acid	IL2RA	4
negative regulation of catalytic activity	GO:0043086	COVID-19	MESH:D000086382	Acetazolamide	IL7	3
mitochondrion localization	GO:0051646	COVID-19	MESH:D000086382	Melatonin	BSG	4
lysosomal lumen acidification	GO:0007042	COVID-19	MESH:D000086382	Chloroquine	TMEM106B	9
neuron projection development	GO:0031175	COVID-19	MESH:D000086382	Melatonin	IL6	7
regulation of NIK/NF-kappaB signaling	GO:1901222	COVID-19	MESH:D000086382	Hydroxychloroquine	IL1B	7
negative regulation of glucose import	GO:0046325	COVID-19	MESH:D000086382	Sirolimus	TNF	3
regulation of primary metabolic process	GO:0080090	COVID-19	MESH:D000086382	Choline		2
regulation of skeletal muscle fiber development	GO:0048742	COVID-19	MESH:D000086382	Sirolimus		2
homocysteine metabolic process	GO:0050667	COVID-19	MESH:D000086382	Choline		2
hydrogen peroxide biosynthetic process	GO:0050665	COVID-19	MESH:D000086382	Melatonin		3
regulation of superoxide dismutase activity	GO:1901668	COVID-19	MESH:D000086382	Zinc		3
positive regulation of NAD+ ADP-ribosyltransferase activity	GO:1901666	COVID-19	MESH:D000086382	Zinc		3
dendritic cell migration	GO:0036336	COVID-19	MESH:D000086382	Chloroquine		6
fatty acid oxidation	GO:0019395	COVID-19	MESH:D000086382	Chloroquine		6
stem cell fate specification	GO:0048866	COVID-19	MESH:D000086382	Melatonin		3
epoxygenase P450 pathway	GO:0019373	COVID-19	MESH:D000086382	Nifedipine		2
host-mediated regulation of intestinal microbiota composition	GO:0048874	COVID-19	MESH:D000086382	Ivermectin		3
determination of adult lifespan	GO:0008340	COVID-19	MESH:D000086382	Sirolimus		2
positive regulation of catecholamine secretion	GO:0033605	COVID-19	MESH:D000086382	Nifedipine		2
binding of sperm to zona pellucida	GO:0007339	COVID-19	MESH:D000086382	Melatonin		5
positive regulation of anion channel activity	GO:1901529	COVID-19	MESH:D000086382	Ivermectin		3
cellular response to stress	GO:0033554	COVID-19	MESH:D000086382	Zinc		3
DNA biosynthetic process involved in mitotic DNA replication	GO:1904860	COVID-19	MESH:D000086382	Lopinavir		5
cellular response to electrical stimulus	GO:0071257	COVID-19	MESH:D000086382	Ivermectin		3
behavioral response to pain	GO:0048266	COVID-19	MESH:D000086382	cannabidiolic acid		2
negative regulation of calcium ion transmembrane transport via high voltage-gated calcium channel	GO:1904878	COVID-19	MESH:D000086382	Nifedipine		3
lactate biosynthetic process	GO:0019249	COVID-19	MESH:D000086382	Choline		2
adult feeding behavior	GO:0008343	COVID-19	MESH:D000086382	Sirolimus		2
cellular response to zinc ion	GO:0071294	COVID-19	MESH:D000086382	Zinc		3
adult locomotory behavior	GO:0008344	COVID-19	MESH:D000086382	Ivermectin		3
transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding	GO:0000982	COVID-19	MESH:D000086382	Hydroxychloroquine		6
regulation of metabolic process	GO:0019222	COVID-19	MESH:D000086382	Choline		3
negative regulation of mitochondrial electron transport, NADH to ubiquinone	GO:1902957	COVID-19	MESH:D000086382	Choline		2
regulation of steroid metabolic process	GO:0019218	COVID-19	MESH:D000086382	Zinc		3
regulation of lipid metabolic process	GO:0019216	COVID-19	MESH:D000086382	Choline		2
swimming behavior	GO:0036269	COVID-19	MESH:D000086382	Ivermectin		3
intracellular transport of viral protein in host cell	GO:0019060	COVID-19	MESH:D000086382	Ivermectin		3
adenylate cyclase-activating serotonin receptor signaling pathway	GO:0007192	COVID-19	MESH:D000086382	Ivermectin		3
negative regulation of intracellular calcium activated chloride channel activity	GO:1902939	COVID-19	MESH:D000086382	Nifedipine		2
metal ion homeostasis	GO:0055065	COVID-19	MESH:D000086382	Zinc		5
mitotic cell cycle	GO:0000278	COVID-19	MESH:D000086382	Nifedipine		2
meiotic spindle organization	GO:0000212	COVID-19	MESH:D000086382	Melatonin		4
meiosis I cytokinesis	GO:0007110	COVID-19	MESH:D000086382	Melatonin		3
positive regulation of membrane depolarization	GO:1904181	COVID-19	MESH:D000086382	Ivermectin		3
positive regulation of meiotic cell cycle process involved in oocyte maturation	GO:1904146	COVID-19	MESH:D000086382	Zinc		3
early viral transcription	GO:0019085	COVID-19	MESH:D000086382	Ivermectin		3
positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	GO:1901030	COVID-19	MESH:D000086382	Dactinomycin		2
negative regulation of autophagosome maturation	GO:1901097	COVID-19	MESH:D000086382	Sirolimus		2
positive regulation of autophagosome maturation	GO:1901098	COVID-19	MESH:D000086382	Chloroquine		9
zinc ion homeostasis	GO:0055069	COVID-19	MESH:D000086382	Zinc		10
copper ion homeostasis	GO:0055070	COVID-19	MESH:D000086382	Zinc Sulfate		2
dendrite arborization	GO:0140059	COVID-19	MESH:D000086382	Sirolimus		2
positive regulation of intracellular estrogen receptor signaling pathway	GO:0033148	COVID-19	MESH:D000086382	Melatonin		3
positive regulation of ovarian follicle development	GO:2000386	COVID-19	MESH:D000086382	Sirolimus		2
lipid homeostasis	GO:0055088	COVID-19	MESH:D000086382	Choline		2
androgen metabolic process	GO:0008209	COVID-19	MESH:D000086382	Nifedipine		3
bile acid metabolic process	GO:0008206	COVID-19	MESH:D000086382	Emodin		2
fatty acid homeostasis	GO:0055089	COVID-19	MESH:D000086382	Choline		2
stress fiber assembly	GO:0043149	COVID-19	MESH:D000086382	cannabidiolic acid		2
cellular response to gamma radiation	GO:0071480	COVID-19	MESH:D000086382	Melatonin		3
insulin metabolic process	GO:1901142	COVID-19	MESH:D000086382	Zinc		3
regulation of autophagy	GO:0010506	COVID-19	MESH:D000086382	Chloroquine		6
negative regulation of histone H3-K27 trimethylation	GO:1902465	COVID-19	MESH:D000086382	Melatonin		3
mammary duct terminal end bud growth	GO:0060763	COVID-19	MESH:D000086382	Zinc		3
detection of cAMP	GO:0031319	COVID-19	MESH:D000086382	Chloroquine		6
neutral lipid biosynthetic process	GO:0046460	COVID-19	MESH:D000086382	Nifedipine		2
cellular response to cisplatin	GO:0072719	COVID-19	MESH:D000086382	Chloroquine		6
zinc ion transmembrane transport	GO:0071577	COVID-19	MESH:D000086382	Zinc		4
regulation of cellular metabolic process	GO:0031323	COVID-19	MESH:D000086382	Choline		2
succinate dehydrogenase (ubiquinone) activity	GO:0008177	COVID-19	MESH:D000086382	Melatonin		3
positive regulation of neuron death	GO:1901216	COVID-19	MESH:D000086382	Zinc		3
cholesterol esterification	GO:0034435	COVID-19	MESH:D000086382	Sirolimus		2
regulation of gastrulation	GO:0010470	COVID-19	MESH:D000086382	Acetazolamide		2
drug transmembrane export	GO:1990961	COVID-19	MESH:D000086382	Emodin		2
suppression by virus of host catalytic activity	GO:0039513	COVID-19	MESH:D000086382	Sirolimus		2
positive regulation of heart rate	GO:0010460	COVID-19	MESH:D000086382	Nifedipine		2
positive regulation of mitochondrial fission	GO:0090141	COVID-19	MESH:D000086382	Melatonin		3
positive regulation of male germ cell proliferation	GO:2000256	COVID-19	MESH:D000086382	Melatonin		3
negative regulation of DNA-binding transcription factor activity	GO:0043433	COVID-19	MESH:D000086382	cannabidiolic acid		2
negative regulation of reproductive process	GO:2000242	COVID-19	MESH:D000086382	Ivermectin		3
proton-transporting ATPase activity, rotational mechanism	GO:0046961	COVID-19	MESH:D000086382	Zinc		3
T cell migration	GO:0072678	COVID-19	MESH:D000086382	Chloroquine		6
neutrophil extravasation	GO:0072672	COVID-19	MESH:D000086382	Azithromycin		2
type I interferon secretion	GO:0072641	COVID-19	MESH:D000086382	Chloroquine		6
very-low-density lipoprotein particle	GO:0034361	COVID-19	MESH:D000086382	Choline		2
pigmentation	GO:0043473	COVID-19	MESH:D000086382	Ivermectin		3
positive regulation of fatty acid transport	GO:2000193	COVID-19	MESH:D000086382	Choline		2
diacylglycerol metabolic process	GO:0046339	COVID-19	MESH:D000086382	Choline		2
intracellular cAMP-activated cation channel activity	GO:0005222	COVID-19	MESH:D000086382	Sirolimus		2
positive regulation of canonical Wnt signaling pathway	GO:0090263	COVID-19	MESH:D000086382	Losartan		2
NAD metabolic process	GO:0019674	COVID-19	MESH:D000086382	Sirolimus		2
negative regulation of interleukin-1 beta secretion	GO:0050713	COVID-19	MESH:D000086382	Chloroquine		6
negative regulation of interleukin-6 secretion	GO:1900165	COVID-19	MESH:D000086382	Chloroquine		6
positive regulation of cytolysis	GO:0045919	COVID-19	MESH:D000086382	Sirolimus		2
mitophagy	GO:0000423	COVID-19	MESH:D000086382	Chloroquine		6
urea metabolic process	GO:0019627	COVID-19	MESH:D000086382	Melatonin		3
chemosensory behavior	GO:0007635	COVID-19	MESH:D000086382	Chloroquine		6
inorganic cation transmembrane transport	GO:0098662	COVID-19	MESH:D000086382	Sofosbuvir		3
iron ion import across plasma membrane	GO:0098711	COVID-19	MESH:D000086382	Zinc		3
sodium ion import across plasma membrane	GO:0098719	COVID-19	MESH:D000086382	Nifedipine		2
maintenance of cell number	GO:0098727	COVID-19	MESH:D000086382	Tenofovir		2
locomotory behavior	GO:0007626	COVID-19	MESH:D000086382	Emodin		2
inorganic cation import across plasma membrane	GO:0098659	COVID-19	MESH:D000086382	Losartan		2
short-term memory	GO:0007614	COVID-19	MESH:D000086382	Melatonin		3
regulation of tumor necrosis factor secretion	GO:1904467	COVID-19	MESH:D000086382	Zinc		3
negative regulation of tumor necrosis factor secretion	GO:1904468	COVID-19	MESH:D000086382	Chloroquine		6
import into cell	GO:0098657	COVID-19	MESH:D000086382	Zinc		3
ion homeostasis	GO:0050801	COVID-19	MESH:D000086382	Chloroquine		6
learning	GO:0007612	COVID-19	MESH:D000086382	Zinc		3
behavior	GO:0007610	COVID-19	MESH:D000086382	Sirolimus		2
tight junction assembly	GO:0120192	COVID-19	MESH:D000086382	Azithromycin		2
regulation of calcium-mediated signaling	GO:0050848	COVID-19	MESH:D000086382	Sofosbuvir		3
negative regulation of calcium-mediated signaling	GO:0050849	COVID-19	MESH:D000086382	Nifedipine		2
pH reduction	GO:0045851	COVID-19	MESH:D000086382	Chloroquine		6
regulation of body fluid levels	GO:0050878	COVID-19	MESH:D000086382	Tenofovir		2
cell aging	GO:0007569	COVID-19	MESH:D000086382	Sirolimus		5
embryonic morphogenesis	GO:0048598	COVID-19	MESH:D000086382	Ribavirin		7
heart development	GO:0007507	COVID-19	MESH:D000086382	Melatonin		3
negative regulation of catalase activity	GO:1902552	COVID-19	MESH:D000086382	Melatonin		3
histone H3-K4 trimethylation	GO:0080182	COVID-19	MESH:D000086382	Sirolimus		2
positive regulation of signal transduction by p53 class mediator	GO:1901798	COVID-19	MESH:D000086382	Dactinomycin		2
positive regulation of cell volume	GO:0045795	COVID-19	MESH:D000086382	Chloroquine		6
positive regulation of cell size	GO:0045793	COVID-19	MESH:D000086382	Sirolimus		3
negative regulation of cell size	GO:0045792	COVID-19	MESH:D000086382	Choline		2
positive regulation of bone resorption	GO:0045780	COVID-19	MESH:D000086382	betulinic acid		2
positive regulation of Notch signaling pathway	GO:0045747	COVID-19	MESH:D000086382	Emodin		2
negative regulation of Notch signaling pathway	GO:0045746	COVID-19	MESH:D000086382	Emodin		2
tryptophan catabolic process to kynurenine	GO:0019441	COVID-19	MESH:D000086382	chloroquine diphosphate		6
positive regulation of serine-type peptidase activity	GO:1902573	COVID-19	MESH:D000086382	camostat		3
telomere maintenance	GO:0000723	COVID-19	MESH:D000086382	Zinc		3
negative regulation of response to oxidative stress	GO:1902883	COVID-19	MESH:D000086382	Melatonin		3
negative regulation of p38MAPK cascade	GO:1903753	COVID-19	MESH:D000086382	Chloroquine		6
regulation of transcription from RNA polymerase II promoter by histone modification	GO:1903756	COVID-19	MESH:D000086382	Sirolimus		2
mitochondrial DNA replication	GO:0006264	COVID-19	MESH:D000086382	Melatonin		5
microvillus organization	GO:0032528	COVID-19	MESH:D000086382	Zinc		3
peptidyl-tyrosine modification	GO:0018212	COVID-19	MESH:D000086382	Choline		2
cAMP transport	GO:0070730	COVID-19	MESH:D000086382	Melatonin		3
fertilization	GO:0009566	COVID-19	MESH:D000086382	Melatonin		4
D-glutamyltransferase activity	GO:0047823	COVID-19	MESH:D000086382	Zinc		3
negative regulation of activation-induced cell death of T cells	GO:0070236	COVID-19	MESH:D000086382	Melatonin		3
attachment of spindle microtubules to kinetochore	GO:0008608	COVID-19	MESH:D000086382	Melatonin		3
cAMP biosynthetic process	GO:0006171	COVID-19	MESH:D000086382	Chloroquine		6
positive regulation of ATF6-mediated unfolded protein response	GO:1903893	COVID-19	MESH:D000086382	Melatonin		3
positive regulation of IRE1-mediated unfolded protein response	GO:1903896	COVID-19	MESH:D000086382	Melatonin		3
positive regulation of PERK-mediated unfolded protein response	GO:1903899	COVID-19	MESH:D000086382	Melatonin		3
mitochondrial electron transport, NADH to ubiquinone	GO:0006120	COVID-19	MESH:D000086382	Tenofovir		2
alditol:NADP+ 1-oxidoreductase activity	GO:0004032	COVID-19	MESH:D000086382	Losartan		2
oxidative phosphorylation	GO:0006119	COVID-19	MESH:D000086382	Sirolimus		2
L-alanine:2-oxoglutarate aminotransferase activity	GO:0004021	COVID-19	MESH:D000086382	Choline		2
2-oxoglutarate metabolic process	GO:0006103	COVID-19	MESH:D000086382	Hydroxychloroquine		6
bone mineralization	GO:0030282	COVID-19	MESH:D000086382	Hydroxychloroquine		6
aorta morphogenesis	GO:0035909	COVID-19	MESH:D000086382	Zinc		3
tissue regeneration	GO:0042246	COVID-19	MESH:D000086382	Hydroxychloroquine		6
positive regulation of leukocyte proliferation	GO:0070665	COVID-19	MESH:D000086382	Zinc Sulfate		2
hemoglobin metabolic process	GO:0020027	COVID-19	MESH:D000086382	Zinc		3
transepithelial transport	GO:0070633	COVID-19	MESH:D000086382	Melatonin		3
L-ascorbic acid biosynthetic process	GO:0019853	COVID-19	MESH:D000086382	Zinc		3
multi-organism metabolic process	GO:0044033	COVID-19	MESH:D000086382	Choline		2
response to sodium arsenite	GO:1903935	COVID-19	MESH:D000086382	Melatonin		3
gluconeogenesis	GO:0006094	COVID-19	MESH:D000086382	Nifedipine		4
cellular ketone metabolic process	GO:0042180	COVID-19	MESH:D000086382	Hydroxychloroquine		6
melatonin biosynthetic process	GO:0030187	COVID-19	MESH:D000086382	Melatonin		4
monounsaturated fatty acid biosynthetic process	GO:1903966	COVID-19	MESH:D000086382	Zinc		3
melatonin metabolic process	GO:0030186	COVID-19	MESH:D000086382	Emodin		2
neuron differentiation	GO:0030182	COVID-19	MESH:D000086382	Sirolimus		2
negative regulation of microvillus length	GO:1903982	COVID-19	MESH:D000086382	Zinc		3
pyruvate metabolic process	GO:0006090	COVID-19	MESH:D000086382	Zinc		3
actin filament organization	GO:0007015	COVID-19	MESH:D000086382	Melatonin		3
acetate metabolic process	GO:0006083	COVID-19	MESH:D000086382	Hydroxychloroquine		6
macrophage activation	GO:0042116	COVID-19	MESH:D000086382	Azithromycin		2
wound healing, spreading of cells	GO:0044319	COVID-19	MESH:D000086382	Melatonin		4
positive regulation of interleukin-2 secretion	GO:1900042	COVID-19	MESH:D000086382	Ribavirin		7
release from viral latency	GO:0019046	COVID-19	MESH:D000086382	Chloroquine		6
cell cycle arrest	GO:0007050	COVID-19	MESH:D000086382	Sirolimus		2
olfactory behavior	GO:0042048	COVID-19	MESH:D000086382	Zinc Sulfate		2
viral gene expression	GO:0019080	COVID-19	MESH:D000086382	Hydroxychloroquine		6
negative regulation of histone H3-K9 dimethylation	GO:1900110	COVID-19	MESH:D000086382	Melatonin		3
virion	GO:0019012	COVID-19	MESH:D000086382	Chloroquine		6
positive regulation of interleukin-1 beta secretion	GO:0050718	COVID-19	MESH:D000086382	Zinc		3
choline metabolic process	GO:0019695	COVID-19	MESH:D000086382	Choline		7
positive regulation of natural killer cell mediated cytotoxicity	GO:0045954	COVID-19	MESH:D000086382	Active Hexose Correlated Compound		3
cellular respiration	GO:0045333	COVID-19	MESH:D000086382	Melatonin		5
positive regulation of mitotic cell cycle	GO:0045931	COVID-19	MESH:D000086382	Sirolimus		2
glucose import	GO:0046323	COVID-19	MESH:D000086382	Dactinomycin		2
positive regulation of blood vessel endothelial cell migration	GO:0043536	COVID-19	MESH:D000086382	Sirolimus		2
extracellularly glutamate-gated chloride channel activity	GO:0008068	COVID-19	MESH:D000086382	Ivermectin		3
positive regulation of cAMP-mediated signaling	GO:0043950	COVID-19	MESH:D000086382	Ivermectin		3
response to odorant	GO:1990834	COVID-19	MESH:D000086382	Zinc Sulfate		2
regulation of multicellular organism growth	GO:0040014	COVID-19	MESH:D000086382	Zinc		3
negative regulation of multicellular organism growth	GO:0040015	COVID-19	MESH:D000086382	Choline		2
polar body extrusion after meiotic divisions	GO:0040038	COVID-19	MESH:D000086382	Melatonin		4
maintenance of protein localization in organelle	GO:0072595	COVID-19	MESH:D000086382	Hydroxychloroquine		6
positive regulation of locomotion involved in locomotory behavior	GO:0090326	COVID-19	MESH:D000086382	Zinc		3
